"title","seller_name","brand","description","initial_price","final_price","reviews_count","root_bs_rank","rating","bought_past_month","bs_rank","root_bs_category","country_of_origin"
"HP OfficeJet 8015e Wireless Color All-in-One Printer, 3 months of Instant Ink included","Ama¦¦¦.co¦¦¦","HP","The HP OfficeJet 8015e delivers increased productivity with fast speeds and custom mobile shortcuts. It includes the optional HP+ Smart Printing System that keeps itself up to date, secure, and ready to print from virtually anywhere at any time—at no additional cost.","160.00","100.00","7791","126","4","10000","3","Office Products","Thailand"
"Panasonic ErgoFit Wired Earbuds, In-Ear Headphones with Dynamic Crystal-Clear Sound and Ergonomic Custom-Fit Earpieces (S/M/L), 3.5mm Jack for Phones and Laptops, No Mic - RP-HJE120-K (Black)","Ama¦¦¦.co¦¦¦","Panasonic","Product Description The Panasonic ErgoFit In Ear Earbuds Headphones RP HJE120 K are the perfect combination of style, comfort and most of all, high quality sound. With three included sets of earpads (S/M/L), you’ll get a custom, comfortable fit that won’t slip out, even while exercising. These black earbuds are a stylish choice, but you can choose from other vivid color options with color matching earbud pads and cord to best complement your style, mood or device. Large 9mm drivers with neodymium magnets along with a wide frequency response and smart ergonomic fit deliver dynamic, crystal clear sound while helping to keep out unwanted outside noise. The 3.6 feet cord threads comfortably through clothing and bags.Frequency Response (Hz-kHz) 20-20 Amazon.com Panasonic In-Ear Headphone Comparison Chart Series RP-HJE120 Series RP-HJE140 Series RP-HJE355 Series RP-HV21 Series RP-HJE295 Series Colors: Blue, Orange, Green, Black, Silver, Red, Violet, Pink Blue, Orange, Green, Black, Red Blue, Black, White, Red Blue, Green, Black, White, Red, Pink, Violet Blue, Black, Green, White, Silver Design In-Ear Ergo Fit Design In-Ear L-Shaped Design In-Ear Design Elastomer In-Ear Drops Design In-Ear Ergo Fit Design 3 Pairs of Soft Earpads (S/M/L) Drive Unit 9 mm 9.3 mm 10.7 mm 14.8 mm 10.7 mm Impedance (ohm/1kHz) 16 16 16 16 16 Cord Length 3.6 ft. 3.9 ft. 3.9 ft. 3.6 ft. 2 ft. + 0.6m extension cord Plug Nickel Nickel Gold Nickel Gold Frequency Response (Hz-kHz) 20-20 6-25 6-24 10-25 6-24 Weight without cord 0.14 oz. 0.14 oz. 0.11 oz. 0.21 oz. 0.11 oz. In-Cord Volume No No No No No Sensitivity (dB/mW) 96 107 105 104 104","9.99","8.99","140420","282","4.3","5000","47","Electronics","China"
"LED Desk Lamp for Home Office, 3 Levels Dimmable Reading Desk Light with USB Charging Port, Desk Accessories Touch Control Table Lamp, Eye-Caring Small Study Lamp for College Dorm Room, Black, 5000K","Bes¦¦¦orl¦¦¦ED","Best World LED","Adjustable Angle, Foldable: with 180°flexible arm and 90°base axis, the led lamp can be adjusted to any your preferred angle.","21.00","19.00","3353","3992","4.5","2000","25","Tools & Home Improvement","China"
"C Charger Cable Fast Charging Phone Android Power Cord 4 Compatible for Samsung Galaxy S24+ S23 Ultra S22 Plus Note 21/20 Ultra, S21+/S20 Plus/S21 S20 FE/S10 Plus/S9 A11/A21/A51/A71 Google 5 4A XL 7","NIN¦¦¦R","Niniber","Compatibility:Pad Pro 12.9"" Gen 4 / 3 (2020/2018), iPad Pro 11” Gen 2 / 1,iPad Air 4Samsung Galaxy S21 S21+ S21 Ultra,S8 S8+ S9 S9 Plus,S10 S10E S10+,S20 S20+ S20 Ultra,S20 FE 5GSamsung Note 20/ 20 Ultra Note9 Note 10/10+ 5GSamsung A51 A71 A81 A91 A21 A31 A11 A01Samsung A50 A70 A20 A30 A52 A72 A32 A42 A12LG- G5, G6, G7, G7 ThinQ, G8, G8ThinQ, V20, V30, V35 ThinQ, V40 V60 ThinQ, Stylo 6/5/4,Moto Z Family- Moto Z, Z Force, Z Play, Z Force Droid,Z2 Force, Z2 Force Droid, Z2 Play, Z3, Z3 Play, Z3 Force,Z4, Z5Moto X4 Moto G Family- G6, G6 Plus (Not for G6 Play, G6 Forge),Moto G7, G7 Play, G7 Plus, G7 Power, G7 Optimo, G7 Optimo Maxx, G7 Supra,G Power, G8 Play, G8 Power, G8 Plus,Moto G Power/Stylus         Fast Charging and Data Syncing Delivers a high-speed charge up to 3A (Max) when connected to a USB-C Power Delivery charge, and this charging cord offers data to sync up to 480Mbps, transfer music, movie, files between your phone and USB-C laptops in seconds. Premium Nylon Braided this power cords Adds the strong military fiber, the most flexible, powerful and durable material, Faster charge and More Stable Internal 21/28AWG thick tinned copper core wire, plus aluminum foil signal shielding layer for faster and more stable charging","14.00","9.99","10059","3496","4.5","1000","90","Cell Phones & Accessories","China"
"HOMOTEK 12 Pack Black Spring Door Stops,3-1/8"" Heavy Duty - Flexible Door Stopper with Low Mounted Black Rubber Bumper Tips","HOM¦¦¦K","HOMOTEK","Previous page Next page 1 Spring body 2 Multiple colors 3 High-quality steel 4 Soft bumper 5 Modern design The video showcases the product in use.The video guides you through product setup.The video compares multiple products.The video shows the product being unpacked. Previous page Next page","13.00","9.99","14296","157","4.7","7000","1","Office Products",""
"?Upgraded? Dimmable Floor Lamp, 1000 Lumens LED Edison Bulb Included, Arc Floor Lamps for Living Room Modern Standing Lamp with Linen Shade, Tall Lamp for Bedroom Office Dining Room- Black","Nin¦¦¦e-C¦¦¦","Nintiue","Why do you choose our modern dimmable floor lamp? 1. This Modern Floor Lamps is Fully Stepless Dimmable Pattern from 0 to 100%, which means you can rotate the switch to set any brightness as you like. 2. Our Standing lamps are designed with a 270º horizontally & 90º vertically ratating head, you can screw the lamp shade to any angle you like, which is very proper for reading and working. 3. 1000 Lumens Bulbs included, perfect for reading and studying, protecting your eyes from flickering lights. 4. If your lamp has any defect or stops working within 3 years, we help you troubleshoot or send a whole new product.   Widely suitable for all occasions for your need. 15% Brightness - - Sleeping, meditation or tell a story. 50% Brightness - - Watching movie, playing electronics. 100% Brightness - - Studying, reading, working or family life.       Adjustable Lamp Head Flexible design with 270º Horizontal Rotation & 90º Vertical Ratating Lamp Head Natural Linen Hand Crafted Lamp Shade Lamp shade was made from the natural linen fabric, more natural photo decoration, makes your room and bedroom full of warmth and mood. Upgraded LED Bulb Included Our LED bulb helps distribute light evenly, and helps diffuse the shadow effect throughout the room;This intelligent design makes the light bulb ideal for general lighting inside and outside your home.       Living Room Bedroom Study Room     QA Q1: What is the height of this floor lamp? A1: We have extend the height of the lamp to 65 inches, which will make you never mind too short to fit. Q2: Can the led light bulb be replaced? A2: Yes, you can replace the light bulb with dimmable light bulbs. Q3: Is this step-less dimmable? A3: Yes, it supports fully dimmable, the brightness can be adjusted by the rotary switch. Q4: How can I do if the lamps stop working or have any problem? A4: If your lamp has any defect or stops working within 3 years, we help you troubleshoot or send a whole new product. Specifications: Material: Metal + Linen Light Source: LED Wire Length: 5.9 Feet Lamp Height: 65 inch Lampshade Dimension: 11.8 x 8 inch Package Included: 1 x Floor Lamp 1 x Linen Lamp Shade 1 x 9W LED Bulb(3000K warm white) 1 x User Manual Specifications: Material: Metal + Linen Light Source: LED Wire Length: 5.9 Feet Lamp Height: 65 inch Lampshade Dimension: 11.8 x 8 inch Package Included: 1 x Floor Lamp 1 x Linen Lamp Shade 1 x 9W LED Bulb(3000K warm white) 1 x User Manual","80.00","50.00","4392","622","4.4","5000","5","Tools & Home Improvement",""
"AdTech 0453 2-Temp Dual Temperature Hot Glue Gun Full Size, Light Gray","Ama¦¦¦.co¦¦¦","Adtech","Product Description Hot Melt 2 Temp Glue Gun. Needle nozzle for precision gluing. Use any Full size glue stick. High temp for wood metal and glass. Low temp for foam lace and fabric. 40 watts. CAUTION: Melted glue will burn skin. Keep away from children. PROTECT DELICATE MATERIALS - Use the low-temp option to preserve fabrics, papers, and styrofoam LAY LONGER LINES - Switch to the high-temp option for larger projects, and keep that glue coming steady! HAVE CONFIDENCE YOUR BOND WILL LAST - Pair any of our glue guns with AdTech hot melt glue sticks for clear lines and a long-lasting bond JUST GRAB AND GO - Prop up your glue gun (and limit pesky glue drips!) with the included stand, and then just grab and go! SPECS: Pair with full-size (0.44” diameter) AdTech glue sticks, such as AdTech HiTemp or MultiTemp sticks 40-watt gun with energy-conscious design (reduces energy demand once it reaches temperature!) 5-foot cord Best for detail work, conference/group crafting and DIY projects From the Manufacturer Hot Melt 2 Temp Glue Gun. Needle nozzle for precision gluing. Use any Full size glue stick. High temp for wood metal and glass. Low temp for foam lace and fabric.","18.00","13.40","6429","4264","4.5","400","21","Arts, Crafts & Sewing","Taiwan"
"Govee Floor Lamp 2 with Matter, RGBIC Warm Cool White LED Floor Lamp Works with Alexa, 1725lm Corner Floor Lamp with Music Sync, Scene Modes, Smart Floor Lamp for Bedroom, Living Room, Studio, Black","Gov¦¦¦US","Govee","Previous page Next page 1 Christmas 2 Bedroom 3 Govee Dreamview1 4 Govee Dreamview2 5 Gaming Room The video showcases the product in use.The video guides you through product setup.The video compares multiple products.The video shows the product being unpacked. Previous page Next page 1 For Relaxing 2 For Reading 3 For Working Previous page Next page 1 Preparation for Matter 2 Need a Hub 3 Upgraded Modren Design Govee Floor Lamp 2 H607C Govee Floor Lamps Alexa Compatible Matter Compatible 1725 Lumens 1500 1521mm / 60 inch Height 1400mm / 55 inch RGBIC+Warm White Color RGBIC+Warm White 82 Scene Mode 64 10 Music Mode 6 Alexa Compatible Matter Compatible 1725 Lumens 2100 1521mm / 60 inch Height 1720mm / 67.7 inch RGBIC+Warm White Color RGBIC+Warm White 82 Scene Mode 85 10 Music Mode 11 Alexa Compatible Matter Compatible 1725 Lumens 1000 1521mm / 60 inch Height 1360mm / 53 inch RGBIC+Warm White Color RGBIC+Warm White 82 Scene Mode 61 10 Music Mode 6 Alexa Compatible Matter Compatible 1725 Lumens 1500 1521mm / 60 inch Height 1750mm / 68 inch RGBIC+Warm White Color RGBIC+Warm White 82 Scene Mode 64 10 Music Mode 6 Previous page Govee Floor Lamp H6072 Govee Floor Lamp Pro 6079 Govee Floor Lamp H6076 Govee Floor Lamp H6078 Next page Learn More Learn More Learn More Learn More","150.00","150.00","494","3174","4.7","4000","33","Tools & Home Improvement",""
"Amazon Basics USB 3.1 USB-C to USB-A Female Adapter Cable Converter, 5Gbps High-Speed, USB-IF Certified, for Laptops, Tablets, Phones, Black","Ama¦¦¦.co¦¦¦","Amazon Basics","Product Description Amazon Basics USB Type-C to USB 3.1 Gen1 Female Adapter Cable - Black From the Manufacturer AmazonBasics","8.70","8.70","53696","535","4.6","2000","5","Cell Phones & Accessories","China"
"Simple Designs LD1003-BLK Basic Metal Desk Lamp with Flexible Hose Neck for Office, Living Room, Bedroom, College Dorm, Bookshelf, Black","Ama¦¦¦.co¦¦¦","Simple Designs","A nice, low-cost, and functional desk lamp to meet your basic lighting needs. This desk lamp features a painted plastitc base and metal shade, flexible hose neck, and ON/OFF switch located on the base for your convenience. Perfect for office, kids room, or college dorm!","28.00","28.00","13772","4541","4.5","1000","28","Tools & Home Improvement","China"
