,title,seller_name,description,initial_price,final_price,reviews_count,root_bs_rank,rating,bought_past_month,root_bs_category,bs_rank,country_of_origin
6,"AdTech 0453 2-Temp Dual Temperature Hot Glue Gun Full Size, Light Gray",Ama¦¦¦.co¦¦¦,"Product Description Hot Melt 2 Temp Glue Gun. Needle nozzle for precision gluing. Use any Full size glue stick. High temp for wood metal and glass. Low temp for foam lace and fabric. 40 watts. CAUTION: Melted glue will burn skin. Keep away from children. PROTECT DELICATE MATERIALS - Use the low-temp option to preserve fabrics, papers, and styrofoam LAY LONGER LINES - Switch to the high-temp option for larger projects, and keep that glue coming steady! HAVE CONFIDENCE YOUR BOND WILL LAST - Pair any of our glue guns with AdTech hot melt glue sticks for clear lines and a long-lasting bond JUST GRAB AND GO - Prop up your glue gun (and limit pesky glue drips!) with the included stand, and then just grab and go! SPECS: Pair with full-size (0.44” diameter) AdTech glue sticks, such as AdTech HiTemp or MultiTemp sticks 40-watt gun with energy-conscious design (reduces energy demand once it reaches temperature!) 5-foot cord Best for detail work, conference/group crafting and DIY projects From the Manufacturer Hot Melt 2 Temp Glue Gun. Needle nozzle for precision gluing. Use any Full size glue stick. High temp for wood metal and glass. Low temp for foam lace and fabric.",18.0,13.4,6429,4264,4.5,400.0,"Arts, Crafts & Sewing",21,Taiwan
30,"Mr. Pen Hot Glue Gun Kit - Glue Gun with 10 Glue Sticks, Mini Craft Glue Gun Set",Mr.¦¦¦n,"Mr. Pen Hot Glue Gun & Glue Sticks   Glue Gun   Hot Glue Gun Sticks   Glitter Hot Glue Sticks Quantity 1 + 10 Quantity 60 Quantity 48 Quality High-Quality Materials Quality Food-Grade EVA Material Quality Food-Grade EVA Material Size Different Sizes Size 4"" Size 4""",9.85,6.99,4609,1424,4.5,2000.0,"Arts, Crafts & Sewing",12,China
97,"ARTEZA Detail Paint Brushes, Set of 15, Fine Detail Brush Set for Miniature Models and Canvases",Ama¦¦¦.co¦¦¦,Previous page Paint Discover all the paints you’ll need to create limitlessly! Paper Preserve the vibrancy of your work with our acid-free paper Markers Capture and color your creative ideas with Arteza markers Crafting & Hobby Craft your way with our wide selection of craft supplies Office & School Keep things organized with our dependable supplies Next page 1 Paint 2 Paper 3 Markers 4 Crafting & Hobby 5 Office & School   The video showcases the product in use.The video guides you through product setup.The video compares multiple products.The video shows the product being unpacked.,27.0,14.7,3639,8813,4.7,100.0,"Arts, Crafts & Sewing",10,China
98,"X-ACTO X3730Q X3000 Rubber-Barrel Hobby Knife, Three #11 Blades, Black",Ama¦¦¦.co¦¦¦,"The X-ACTO X3000 Knife is perfect for professional artists, designers and students who need to store their X-ACTO blades for easy access. The back of the knife unscrews to store up to 5 extra # 11 blades (3 blades and a safety cap are included with this package). A textured no-slip grip improves comfort during usage and the anti-roll handle helps to prevent knife from falling off desk or table. It is made for delicate, precision cutting, trimming and stripping, and easily cuts paper, plastic, balsa, thin metal, cloth, film and acetate.",12.1,9.99,659,9347,4.4,600.0,"Arts, Crafts & Sewing",34,China
161,"Bougimal 32 Pieces Paint Brush Set, Artist Series, Nylon Bristles with Round, Filbert, Flat, Fan, Angle, Detail Brush, Suitable for Artists and Beginners for Acrylic Painting, Oil, Watercolor, Gouache",Bou¦¦¦alU¦¦¦,"Welcome to Bougimal - Start Your Art Journey with Bougimal Paint Brushes Set!   Why should you choose Bougimal acrylic paint brushes? The video showcases the product in use.The video guides you through product setup.The video compares multiple products.The video shows the product being unpacked. Exquisite Details Display - Your Ideal Choice!   High-Quality Nylon Crafted using premium nylon bristles, our brushes offer superior performance. Ours strike a perfect balance between flexibility and resilience.   No Shedding Our brushes prevent shedding and the bristles are securely bonded to the ferrule for a hassle-free and smooth painting experience.   Exceptional Adhesion Our brushes are known for their excellent paint adhesion. Whether you're using acrylics, oils, or watercolors, the bristles evenly distribute paint.   Comfortable Wooden handle The wooden handle is designed to conform to the curves of the hand, non-toxic&waterproof, making drawing less tiring even after long periods of time.     How to Do with the New Brushes? Before using, separate the bristles gently with fingers, soak them in warm water (around 30°C) for 3 minutes During this time, stroke the bristles in their natural direction to avoid shedding.After soaking, blot the brush with a tissue to remove excess water and let it air dry.   How Can You Extend the Lifespan of Your Brushes? Clean Brushes Promptly and Thorough: Clean brushes right after painting & wash brushes with warm water and mild soap to remove all paint residues.Proper Drying: Let brushes dry fully and store them with bristle tips facing up.Avoid Soaking: Don't leave brushes immersed in water for long. Suitable for Various types of Paint & Festivals, Items DIY & Coloring Models Previous page Next page More Bougimal Paint Brush Set Available 32 Pieces Paint Brush Set Add to Cart 33 Pieces Paint Brush Set Add to Cart 32 Pieces Paint Brush Set Add to Cart 32 Pieces Paint Brush Set Add to Cart Acrylic Paint Markers Add to Cart 32 Pieces Paint Brush Set Add to Cart Customer Reviews 4.7 out of 5 stars 936 4.9 out of 5 stars 18 4.7 out of 5 stars 936 4.7 out of 5 stars 936 4.5 out of 5 stars 38 4.7 out of 5 stars 936 Price $23.99$23.99 $29.99$29.99 $23.99$23.99 $23.99$23.99 $23.99$23.99 $23.99$23.99 Brush material Nylon Nylon Imported from Korea Nylon Nylon Premium Fiber Nylon Handle material Birch Wooden Birch Wooden Birch Wooden Birch Wooden Plastic Birch Wooden Metal ring material Aluminum Chrome-Plated Aluminum Aluminum Aluminum — Aluminum Complete brush size 7.08inch-7.67inch 7.01inch-9.94inch 7.08inch-7.67inch 7.08inch-7.67inch 6.7inch 7.08inch-7.67inch color Wooden Color Wooden Color Reddish Brown Orange 48 Colors Pearl White Number of sets 32 33 32 32 24 Sets 32 Is it solid ? ? ? ? ? ? Is there a pencil & sharpener ? ? ? ? ? ? Is there an eraser ? ? ? ? ? ? Is there a cloth bag ? ? ? ? ? ?",28.0,24.0,936,2819,4.7,1000.0,"Arts, Crafts & Sewing",44,China
171,"Small Paint Brushes for Crafts, Paint Brushes Set for Acrylic Painting 30PCS Bulk Paint Brushes, Mini Paint Brushes for Kids Adults Oil Watercolor Rock Painting Body Face Nail Art",hai¦¦¦wen¦¦¦,"High-Quality Materials Smooth acrylic handleSolid metal connectorsSoft and stretchy nylon bristles Easy to Maintain Lightweight, durable, easy to hold and clean.   Professional Paint Brush Set Suitable for everyone who have fun in painting!         Wonderful Gift A wonderful gift for family, students, teens, children, and friends who have fun in painting. Various Occasions Drawing and DIY Supplies grate for School, Classroom, Travel, Home, Office and Outdoor. Multifunctional Prefect for watercolor, oil, gouache, acrylic painting, enamel, cel vinyl, body/nail/face art painting, miniature, model, craft art painting, etc.",4.99,4.99,142,2921,4.6,300.0,"Arts, Crafts & Sewing",47,China
227,"Wooster 912-0031030020 Paintbrush, 2-Inch, White",Ama¦¦¦.co¦¦¦,"Thick, open-cell polyurethane foam holds more paint for better coverage. Smoothest “no brush marks” finish. White plastic handle has a built-in stiffener blade for consistent flex and neat, precise results. Use with all paints, varnishes, and stains. High-quality brushes, excellent for antiquing, decoupage, crafts, and smooth clear coats to protect the finishes. The Wooster Brush Company has been manufacturing innovative, high-performance painting tools right out of Wooster, Ohio USA since 1851. Our trade names include Ultra/Pro, Advantage, Yachtsman, Shortcut paintbrushes; Super/Fab, Super Doo-Z roller covers; Sherlock frames and extension poles; Jumbo-Koter minirollers; and Prep Crew surface prep tools. You can feel confident knowing Wooster is the name behind your painting tools.",2.75,1.8,1807,11056,4.6,300.0,"Arts, Crafts & Sewing",14,USA
228,Photomyne A4 Slide Viewer | Light Pad Backlight | Negative Viewer | Film Negatives & Old Slides Scanning Light Box | Hands-Free Ultra-Thin Ultimate Brightness (Includes USB Adapter) - Black,Pho¦¦¦yne¦¦¦D,"Memories live here Digitizing your memories and safeguarding your family history is easy with Photomyne’s apps. Every captured moment. Every family member. All from the comfort of your smartphone.   The Photomyne Scanning Suite Every photographed moment from your past deserves to look its best for the future. Photomyne’s scanning suite provides a simple solution for bringing generations of photos, slides, and film negatives into our digital world. The hard work is done for you as the apps automatically crop and enhance your newly digitized photos. Just start scanning.   Accessories Anyone can perfect their scanning project, especially with the help of Photomyne’s accessories. Whether you’re looking to scan faster, reduce glare, remove blurriness, or protect your physical copies, Photomyne apps pair wonderfully with these additional tools. Our apps         Photomyne Photo Scan app Our flagship and first app. In addition to high-quality photo scanning, it offers advanced management, editing, and backup options. SlideScan app By Photomyne The only way to digitize photo slides from your smartphone. Convert slides to digital photos with SlideScan, then transfer photos to the Photomyne app to arrange photos in albums and to add details. Filmbox app By Photomyne Turn your smartphone into a private darkroom. Convert film negatives to digital photos then transfer them to the Photomyne app to arrange photos in albums and to add details. Colorize app By Photomyne Breathe color & a new life into old black and white photos. Simply scan or upload photos and watch your photos magically colorized.",40.0,40.0,1225,10634,4.4,200.0,"Arts, Crafts & Sewing",5,China
232,"Prang Washable Glue Stick, Clear.74 Oz, 1 Count",Uni¦¦¦Now¦¦¦,"Prang 0.74 oz Glue Stick dries clear, wrinkle free and is washable, odorless, Non-Toxic and ideal for children.",2.15,1.59,180,54046,4.2,,"Arts, Crafts & Sewing",98,
263,"Scissors, Rkqoa 8"" Scissors All Purpose 6 Pack - Comfort-Grip Sharp Scissors for Office School Sewing Fabric Craft Desk Supplies, Classroom Must have, Teacher/Class Scissors, Right/Left Handles",Rkqoa,"All Purpose Soft Grip Sharp Scissors   Definitely Worth Having the Office School Household Scissors Designed for both right and left-handed Scissors   Ergonomic handle design and injection molding process. Suitable for office scissors, school scissors, sewing scissors, craft scissors, fabric scissors, household scissors, garden scissors, craft shears, left handed scissors, older kids scissors, classroom scissors, students scissors, teachers scissors, adult scissors etc.       All-Purpose Cutting Cut a wide variety of materials, including paper, photos, cardboard and more in the home, school, office and diy craft. Long-lasting sharpness Stainless steel blades hold their sharp edge for lasting effect. Comfortable to hold and use Different Colored Scissors, Can Be Used In Different Places. Great for most regular home office desk classroom school teacher household tasks. Titanium Scissors, Rkqoa 8"" All Purpose Scissors Pack of 6 - High Performance... Pink Scissors, Rkqoa 8"" All Purpose Scissors Pack of 6 - High Performance and... Purple Scissors, Rkqoa 8"" All Purpose Scissors Pack of 6 - High Performance a... 24 Black Scissors Bulk, Rkqoa 8"" All Purpose Scissors Pack - High Performance... Black-Pink Scissors Bulk, Rkqoa 8"" All Purpose Scissors Pack of 6 - High Perf... White Scissors, Rkqoa 8"" All Purpose Scissors Pack of 6 - High Performance an... Add to Cart Add to Cart Add to Cart Add to Cart Add to Cart Add to Cart Customer Reviews 4.7 out of 5 stars 56 4.7 out of 5 stars 56 4.7 out of 5 stars 56 4.7 out of 5 stars 56 4.7 out of 5 stars 56 4.7 out of 5 stars 56 Price $11.99$11.99 $9.99$9.99 $8.99$8.99 $24.99$24.99 $7.99$7.99 $9.99$9.99 Easy To Hold ? ? ? ? ? ? Easy To Use ? ? ? ? ? ? Heavy Duty ? ? ? ? ? ? Stainless Steel ? ? ? ? ? ? Suitable Ages ages 8+ ages 8+ ages 8+ ages 8+ ages 8+ ages 8+",16.0,8.99,551,380,4.6,3000.0,"Arts, Crafts & Sewing",10,China
