,title,seller_name,description,initial_price,final_price,reviews_count,root_bs_rank,rating,bought_past_month,root_bs_category,bs_rank,country_of_origin
1,"Panasonic ErgoFit Wired Earbuds, In-Ear Headphones with Dynamic Crystal-Clear Sound and Ergonomic Custom-Fit Earpieces (S/M/L), 3.5mm Jack for Phones and Laptops, No Mic - RP-HJE120-K (Black)",Ama¦¦¦.co¦¦¦,"Product Description The Panasonic ErgoFit In Ear Earbuds Headphones RP HJE120 K are the perfect combination of style, comfort and most of all, high quality sound. With three included sets of earpads (S/M/L), you’ll get a custom, comfortable fit that won’t slip out, even while exercising. These black earbuds are a stylish choice, but you can choose from other vivid color options with color matching earbud pads and cord to best complement your style, mood or device. Large 9mm drivers with neodymium magnets along with a wide frequency response and smart ergonomic fit deliver dynamic, crystal clear sound while helping to keep out unwanted outside noise. The 3.6 feet cord threads comfortably through clothing and bags.Frequency Response (Hz-kHz) 20-20 Amazon.com Panasonic In-Ear Headphone Comparison Chart Series RP-HJE120 Series RP-HJE140 Series RP-HJE355 Series RP-HV21 Series RP-HJE295 Series Colors: Blue, Orange, Green, Black, Silver, Red, Violet, Pink Blue, Orange, Green, Black, Red Blue, Black, White, Red Blue, Green, Black, White, Red, Pink, Violet Blue, Black, Green, White, Silver Design In-Ear Ergo Fit Design In-Ear L-Shaped Design In-Ear Design Elastomer In-Ear Drops Design In-Ear Ergo Fit Design 3 Pairs of Soft Earpads (S/M/L) Drive Unit 9 mm 9.3 mm 10.7 mm 14.8 mm 10.7 mm Impedance (ohm/1kHz) 16 16 16 16 16 Cord Length 3.6 ft. 3.9 ft. 3.9 ft. 3.6 ft. 2 ft. + 0.6m extension cord Plug Nickel Nickel Gold Nickel Gold Frequency Response (Hz-kHz) 20-20 6-25 6-24 10-25 6-24 Weight without cord 0.14 oz. 0.14 oz. 0.11 oz. 0.21 oz. 0.11 oz. In-Cord Volume No No No No No Sensitivity (dB/mW) 96 107 105 104 104",9.99,8.99,140420,282,4.3,5000.0,Electronics,47,China
17,"JBL Clip 4, Black/Orange - Portable Bluetooth 5.1 Speaker - Up to 10 Hours of Play - Waterproof & Dust Resistant - Includes Noise & Echo-Canceling Speakerphone",Hup¦¦¦s,JBL Clip 4 (Black/Orange),80.0,40.0,31258,975,4.8,500.0,Electronics,38,
19,"Soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization (White)",Ank¦¦¦ire¦¦¦,"Previous page Tuned to You Fine-tune the way you listen with 22 preset EQs to choose from, including our signature BassUp EQ. Ready for Gaming Immerse yourself in mobile games. Activate gaming mode via the app for enhanced in-game sounds. Next page 1 22 Preset EQs 2 Gaming Mode   Stay Attached with a Lanyard Keep your earbuds on you at all times with a portable case and lanyard. Small enough to slip in your pocket, clip on your bag or keys–so you never worry about space.   Comfortable, Feather-Light Fit soundcore P20i true wireless earbuds are lightweight with an ergonomic shape to fit comfortably in your ears for long listening sessions. Effortless Sound   Fast Charging Fast charge for 10 mins for an extra 2 hours of power. A full charge gives 10 hours of playtime and 30 hours with the charging case.   Tap to Control Take control of soundcore P20i true wireless earbuds with simple tap controls which can be customized in the soundcore app.   Bluetooth 5.3 The latest Bluetooth version has fast transmission speeds, so you always get a stable connection, even in busy crowds.   Single Earbud Mode Want more awareness of your surroundings or to extend playtime further? Simply take one earbud out of the case, and it will enter Single Earbud mode. Choose the right soundcore earbuds soundcore P20i Add to Cart soundcore C40i Add to Cart soundcore AeroFit 2 Add to Cart soundcore Liberty 4 Pro Add to Cart soundcore Sleep A20 Add to Cart soundcore P40i Add to Cart Space A40 Add to Cart Customer Reviews 4.4 out of 5 stars 36,846 3.8 out of 5 stars 17 4.6 out of 5 stars 81 4.2 out of 5 stars 121 3.9 out of 5 stars 1,609 4.3 out of 5 stars 4,298 4.2 out of 5 stars 14,215 Price $24.99$24.99 $99.99$99.99 $99.99$99.99 $129.99$129.99 $149.99$149.99 $59.99$59.99 $59.00$59.00 Sound 10mm driver 12mm x 17mm, Titanium-Coated 20 x 11.5mm Drivers, Hi-Res 10.5mm Bass Driver 4.7mm driver Big Bass Detailed Sound Noise Cancellation - - - Adaptive ANC - Adaptive ANC Adaptive ANC Customized sound ? ? ? ? ? ? ? App ? ? ? ? ? ? ? Playtime (Single/With Case) 10H/30H 7H/21H 10H/42H 10H/40H 14H/80H 12H/60H 10H/50H Fast Charging 10 Mins = 2H 10Mins = 2H 10 Mins = 4 Hrs 5 Mins = 4H 5 Mins = 1H 10 Mins = 5H 10 Mins = 4H Calls 2 Mics 2 Mics with AI 4 Mics with AI 6 Mics with AI - 6 Mics 6 Mics Waterproof IPX5 IPX4 IP55, SweatGuard IPX5 IPX4 IPX5 IPX4 Bluetooth Version 5.3 5.4 5.4 5.3 5.3 5.3 5.2 Controls Touch Control Button Control Touch Control Earbud Stem and Touch Control Tap Control Touch Control Touch Control Single Earbud Use ? ? ? ? ? ? ? Special Design Lanyard for Easy Carrying Non-Intrusive Open-Ear Clip-On Adjustable Ear Hooks Smart Case with Display Ultra-Comfort for Sleep 2-in-1 Phone Stand - Key Features 10mm Oversized Drivers: Big drivers deliver detailed sound with powerful bass. 22 EQ Presets: Use the soundcore app to pick a preset that works best with what you're listening to. Compact and Comfortable: soundcore P20i true wireless earbuds have a small and lightweight fit. The compact charging case easily fits in small pockets and bags. Extended Playtime: Enjoy 10 hours of playtime on a single charge. The charging case holds up to 30 hours of extra power, so you can top up your earbuds on the go. AI-Enhanced Clear Calls: Be heard clearly thanks to soundcore P20i's two built-in microphones with AI-enhanced voice pick-up. Fast Charging: A speedy 10-minute charge of your soundcore P20i true wireless earbuds gives you 2 hours of playtime. One-Step Pairing: When you're first setting up, just open the case, take soundcore P20i true wireless earbuds out, and they will be ready to pair. After that, the earbuds will automatically connect to the last paired device whenever you take them out. Single Earbud Mode: Want more awareness of your surroundings or to extend playtime even further? Simply remove one of the earbuds from the charging case, and the earbud will enter Single Earbud mode.",40.0,25.0,36846,138,4.4,10000.0,Electronics,24,
33,"Damex Updated Thickened Solo Wireless 2/3 Replacement Ear Pads,earpads for Beats Solo 2/3 Wireless Headphone (White)",Damex,"Specifications: compatiblily :beats solo 2/3 wirelss headphone Materials: Protein Leather + Memory Foam Dimensions LxWxH2.9 x 2.75 x 0.94 inches Unit Count1.00 Count Material Description Memory foam High-quality memory surface, excellent slow rebound properties, no pressure on the ear, long time to wear will not feel uncomfortable Protein leather Japan-made protein leather, softer and more skin-friendly update thickning the original earpad are 18mm thick,now updated to 23mm,more comfortble to wear     Why choose our earpads replacement? Made of high-density memory foam, our ear pads will seal brilliantly around your ears. Japan-made protein leather ensuring you extreme comfort and long durability. Enjoy your music while forgetting your headphones are even on. black white red blue Add to Cart Add to Cart Add to Cart Add to Cart Customer Reviews 4.6 out of 5 stars 965 4.6 out of 5 stars 965 4.6 out of 5 stars 965 4.6 out of 5 stars 965 Price $11.98$11.98 $11.98$11.98 $11.98$11.98 $11.98$11.98 Surface skin Protein Leather Protein Leather Protein Leather Protein Leather Inner layer of sponge Slow-rebound memory foam Slow-rebound memory foam Slow-rebound memory foam Slow-rebound memory foam Update increased thickness 5mm 5mm 5mm 5mm",12.0,12.0,965,4911,4.6,500.0,Electronics,83,China
34,Link Dream Replacement Ear Pads for Beats Solo 2 Solo 3 - Replacement Ear Cushions Memory Foam Earpads Cushion Cover for Solo 2 & Solo 3 Wireless Headphone (White),yaanl,"About this item Compatibility: Ear Pad Cushion Replacements are designed the same as original, these foam ear pads fit great with Solo 2.0/3.0 Wireless Headphone. (NOTE: not for Studio!) Soft and Durable: The replacement ear pads is made by high quility foam and protein leather, as soft as the original pads, design for all day music enjoy without swelling or pain. No Loss of Sound Quality: The memory foam cushion blocks the entrance of the outside sound, retains the original sound of your Beats Studio headphone. It keeps you a quiete world when you are in noise outside. Easy Installation: Simply remove the old earpads and install the new replacement pads within seconds. They will not fall off easily. NOTE: Please clean up the residual glue on the headphones before attaching the new ear pads. [ Quick Response] - Please feel free to contact us if there have any problems concerning the item, and you can get our quick response within 24 hours. › See more product details",14.0,14.0,10673,5257,4.6,500.0,Electronics,93,
35,"JBL Go 3: Portable Speaker with Bluetooth, Builtin Battery, Waterproof and Dustproof Feature Blue JBLGO3BLUAM",Ama¦¦¦.co¦¦¦,"JBL Go 3 features bold styling and rich JBL Pro Sound. With its new eye-catching edgy design, colorful fabrics and expressive details this a must-have accessory for your next outing. Your tunes will lift you up with JBL Pro Sound, it’s IP67 waterproof and dustproof so you can keep listening rain or shine, and with its integrated loop, you can carry it anywhere. Go 3 comes in completely new shades and color combinations inspired by current street fashion. JBL Go 3 looks as vivid as it sounds.",40.0,28.0,43850,673,4.8,3000.0,Electronics,24,China
45,TAGRY Bluetooth Headphones True Wireless Earbuds 60H Playback LED Power Display Earphones with Wireless Charging Case IPX5 Waterproof in-Ear Earbuds with Mic for Smart Phone Laptop TV Computer Sports,YP ¦¦¦h,"About this item LED Power Display and 60H Playback: Dual digital LED power display outside of the case is to show the power level for charging case and earbuds. When charging for the case, the LED light will start to flash from 1 to 100. When you put earbuds into the case, then earbuds will start to be charged. 470mAh battery capacity charging case can provide extra 4 times full charging for both earbuds, each earbud can last 6H on single charging. So, you can enjoy 60H music time in total via using in turn. Wireless Charging and IPX5 Waterproof: The charging case of these bluetooth earbuds support wireless charging and USB C cable charging. These wireless headphones are rating at IPX5 waterproof, the nano-coating on earbuds surface can prevent water and sweat from penetrating, which can use as sport wireless headsets. You can listen to the music while running, working, reading, sleeping, meeting, etc. One-Step Pairing and Easy Touch Control: TAGRY X08 bluetooth earphones adopts hall switch. After first connection, these wireless earphones will connect with your device once you open the charging case, which is faster and more convenient. During using, you can touch either earbud to control the phone, such as the music switch, volume adjustment, phone calls, voice assistant, etc. No need to adjust through your mobile phones. Ergonomic Design and Lightweight: TAGRY X08 headphones' structure is the study of thousands of people's ear canal before design. Comes with three different sizes of ear tips, our X08 are fit for most people's ear cannals. These wireless bluetooth headphones are small and light, single earbud is only 0.14oz, earbud size is 1.57*0.78*0.59in, charging case size is 2.56*2.16*1in, It’s more convenient to carry. Superior Clear Call and Immersive Stereo Sound: These music earphones with 13mm speakers and triple-layer composite diaphragms provide powerful bass, stunning treble and clear mids. These earbuds are designed for sound and music lovers. It can support the mono mode and twin stereo mode, you can share the earbuds with your friends and families. Each earbud has a build-in microphone for phone calls. CVC noise reduction can make others hear your voice very clearly while phone calls. › See more product details",50.0,36.0,68199,331,4.4,6000.0,Electronics,58,China
52,WC Wicked Cushions PadZ - Thick & Soft Ear Pads for ATH M50X / M40X / SteelSeries Arctis/HyperX Cloud & Alpha/Logitech G Pro X/Compatible with Over 50 Headphones | Black,Wic¦¦¦ Cu¦¦¦ons¦¦¦¦¦¦,"Replacement Ear Pads For Audio Technica ATH-M50X & Other Headphones by Wicked Cushions   The Perfect Fit   Only For The Following Models We know you're wicked excited to outfit your headphones with your new Wicked Cushions Ear Pads for ATH M50X, so this will be brief. Not to sound like a broken record, but these cushions are mainly designed to fit the ATH-M Series, however, they will fit other models as well. Our innovative ear pads have been confirmed to seamlessly fit the following models ONLY: ATH M50X / M50 / M50XBTATH M40 / M40X / M40FSATH M30 / M30X / ATH M20X / ATH M35ATH MSR-7 / ATH WS660BT / ATH G1WL / ATH WS1100IS / ATH BPHS1 / ATH-PDG1 / ATH-PG1STEELSERIES ARCTIS 1 / 1 WIRELESS / 3 / 5 / 7 / 7+ / 7P / 7P+ / 7X / 7 WIRELESS / 9X / 9 WIRELESS / PRO / PRO WIRELESS / PRO GAMEDAC / PRIMEHyperX CLOUD 1 / CLOUD 2 / CLOUD 3 / CLOUD 2 WIRELESS / CLOUD ALPHA / ALPHA S / CLOUD CORE / CLOUD STINGER / CLOUD STINGER 2 / CLOUD FLIGHTTURTLE BEACH STEALTH 300 / 400 / 450/ 500 ( PRE 2024 VERSION ) / 600 GEN 1 ( PRE 2024 VERSION ) / 600 GEN 2 ( PRE 2024 VERSION ) / 700 GEN 1 / X12 / ATLAS / RECON SPARK / RECON 50 / 50P / ATLAS / X12RAZER KAIRA / KAIRA PRO / KAIRA X / KAIRA PRO PS5 / BLACKSHARK V2 X / BARRACUDA / BARRACUDA XLOGITECH G PRO X / G PRO X WIRELESS / GO PRO X 2MONOPRICE 8323SENNHEISER HD280 / EPOS GSP 370ROCCAT ELO 7.1 AIR / ELO 7.1 USB / ELO X STEREOPLANTRONICS RIG 800HS _________________________________________________ Thicker, Bigger, Better.   What Makes Us Different? The Wicked Way. ___________________________________________ Are your ears constantly squished against your head while using your ATH M50x Headphones? These state-of-the-art earpads are wicked thick and ergonomically designed so your ears will feel like they're on Cloud 9 when you're listening to your tunes.Don't your ears deserve to feel enveloped in cushiony comfort? Finally, the most common issue with the original ATH M50x Ear pads has been fixed by our Wicked team of headphone aficionados. Our replacement Ear Pads for ATH M50X have a significantly wider opening; providing your ears with that warm fuzzy feeling they deserve when busting out some tunes or chilling with a podcast!Let's talk about The Wicked Way. Have an issue or need some live step-by-step instruction? Please shoot us a line on social or email at any time. Our knowledgeable US-based team will get back to you in under 8 hours! ___________________________________________ Your purchase can help us make a difference. Every month, we donate 10% of our profits to a different charity that's near and dear to our hearts. Our customers are like family to us, and we love to hear from you. If you have any suggestions/feedback or want to say hi, please don't hesitate to reach out. Wicked Cushions Black Camo Wicked Cushions Hybrid Velour Wicked Cushions PU Leather Add to Cart Add to Cart Add to Cart Customer Reviews 4.6 out of 5 stars 7,965 4.6 out of 5 stars 2,135 4.6 out of 5 stars 7,965 Price $26.95$26.95 $23.95$23.95 $20.95$20.95 Comfort Level My goodness + SEXY The King of Comfort The Prince of Comfort",21.0,21.0,7965,4481,4.6,500.0,Electronics,78,China
56,"JBL Clip 4 - Portable Mini Bluetooth Speaker, big audio and punchy bass, integrated carabiner, IP67 waterproof and dustproof, 10 hours of playtime, speaker for home, outdoor and travel (Pink)",Ama¦¦¦.co¦¦¦,"Cool, portable, and waterproof. The vibrant fresh looking JBL Clip 4 Bluetooth speaker delivers surprisingly rich JBL Original Pro Sound in a small package. The unique oval shape fits easy in your hand. Fully wrapped in colorful fabrics with expressive details inspired by current street fashion, it’s easy to match your style. The fully integrated carabiner hooks instantly to bags, belts, or buckles, to bring your favorite tunes anywhere. IP67 Waterproof, dustproof, and up to 10 hours of battery life, it’s rugged enough for any outdoor adventure. • JBL Clip 4 portable mini Bluetooth speaker• Rich JBL Original Pro Sound• Ultra-portable design and integrated carabiner• 10 hours of playtime• Wireless Bluetooth Streaming• IPX67 Waterproof and dustproof.",65.0,40.0,31258,636,4.8,1000.0,Electronics,22,China
62,"JSAUX iPhone Headphone Adapter, Lightning to 3.5mm Adapter [Apple MFi Certified] iPhone Aux Adapter Compatible with iPhone 14/14 Pro Max/13/13 Pro Max/12/12 Pro Max/11/11 Pro Max/SE/X/XR/XS/8-Red",JS ¦¦¦ita¦¦¦S,"Note: It only supports IOS 10.3.1 and later.It doesn't compatible with 2018 iPad Pro 11"" / 12.9"" which has a USB C portFor iPhone 7 and iPhone 7 Plus, make sure it has been updated to iOS 10.3.1 or later.             JSAUX Lightning to 3.5mm Headphone Aux Adapter Wide Compatibility - iPhone 14 / 14 Plus / 14 Pro / 14 Pro Max / 13 / 13 Mini / 13 Pro / 13 Pro Max / 12 / 12 Mini / 12 Pro / 12 Pro Max / 11 / 11 Pro / 11 Pro Max / 8 / 8 Plus / 7 / 7 Plus / SE / X / XR / XS / XS Max, etc. - The compatible for Apple devices which have a lightning connector with iOS 10.3.1 or later. - The 3.5mm female adapter works with virtually any 3.5mm audio device, including earphones, headphones, and audio cables. Apple MFi Certified Ensures completely and securely connect with your Apple devices, 100% compatibility for the iOS system without error message. Powerful Functions Allows you to Control Music (volume, previous/next), Answer Phone Calls easily, just connect audio headphone/earphone/microphone to your Apple devices with the adapter Super Sound - Sampling rate up to 48KHz and filter out noise. Provides a clear with no breaks quality sound. - Music, podcasts, and more are seamlessly transmitted to your headphones with no drop in audio quality. Plug & Play This adapter lets you connect devices that use a 3.5mm audio plug to your Lightning devices. Just plug the adapter in your device, let your Apple equipment recognize the adapter for 3-5 sec before playing music. Lightweight & Portable This lightweight and portable audio adapter is small enough to fit in your pocket, school bag, travel carry on, and anywhere else you might keep your phone, making it ideal for listening to music anywhere.",15.0,15.0,10195,1284,4.5,1000.0,Electronics,34,China
