,title,seller_name,description,initial_price,final_price,reviews_count,root_bs_rank,rating,bought_past_month,root_bs_category,bs_rank,country_of_origin
0,"HP OfficeJet 8015e Wireless Color All-in-One Printer, 3 months of Instant Ink included",Ama¦¦¦.co¦¦¦,"The HP OfficeJet 8015e delivers increased productivity with fast speeds and custom mobile shortcuts. It includes the optional HP+ Smart Printing System that keeps itself up to date, secure, and ready to print from virtually anywhere at any time—at no additional cost.",160.0,100.0,7791,126,4.0,10000.0,Office Products,3,Thailand
4,"HOMOTEK 12 Pack Black Spring Door Stops,3-1/8"" Heavy Duty - Flexible Door Stopper with Low Mounted Black Rubber Bumper Tips",HOM¦¦¦K,Previous page Next page 1 Spring body 2 Multiple colors 3 High-quality steel 4 Soft bumper 5 Modern design The video showcases the product in use.The video guides you through product setup.The video compares multiple products.The video shows the product being unpacked. Previous page Next page,13.0,9.99,14296,157,4.7,7000.0,Office Products,1,
11,"QUTOOL Lumbar Support Pillow for Office Chair Back Support Pillow for Car, Computer, Gaming Chair Memory Foam Back Cushion for Back Pain Relief Improve Posture, Mesh Cover Double Adjustable Straps",QUT¦¦¦ Co¦¦¦rt ¦¦¦¦¦¦¦¦¦,"The Lumbar Support Pillow is designed to offer excellent support for your back, helping to alleviate discomfort and pain. Please carefully follow the instructions below to ensure you achieve a comfortable experience. Applicable Scenarios QUTOOL lumbar pillows are suitable for use at home, in the office, or in any situation where prolonged sitting is necessary, especially for individuals who sit for extended periods, hunch over, or experience back discomfort. Applicable Seat Types Compatible with office chairs, dining chairs, car seats, lounge chairs, and gaming chairs.Choose a chair with a straight backrest and moderate firmness. The backrest of the chair being sunken or too soft may weaken its support effectiveness.Seat Width: If the seat is wide, please adjust the straps to the longest setting to secure the lumbar pillow; if the seat is narrow, tighten the straps to ensure the cushion is stable.Seat Depth: Ensure the lumbar pillow thickness is compatible with your seat’s depth. If using in a car, adjust your seat after installing the pillow to find a comfortable position.     Stay away from discomfort,relax your life QUTOOL is committed to providing quality memory foam products to make your life more comfortable. Memory Foam Lumbar Support Pillow Ergonomic Designed for Back Pain Relief and Correct Posture Why do you need a lumbar support pillow? If you suffer from poor posture with an accentuated curve and chronic back pain, QUTOOL lumbar cushion is definitely recommended, especially if your routine involves extensive periods of sitting. QUTOOL Back Cushion offers back support to alleviate muscle tension, promote proper posture, and reduce stress accumulation. Product Name: lumbar support pillow for office chair Size: 16.9"" x 15.5"" x 4.7"" Material: premium memory foam Color: Black, Weight: 1.67Ib Package Included: 1 Back cushion*1 instruction for Use       ERGONOMIC DESIGN It can relieve pressure, automatically shape according to the curve of the human body, and has full support force when fitted, achieving a comfortable stress-less state. PREMIUM MEMORY FOAM QUTOOL back cushion adopt, high density memory foam that can keep its shape, feel soft and comfortable and made without harmful substances. 3D VENTILATED MESH WASHABLE COVER The cover is detachable and keeps the air flowing to keep the back fresh. IDEAL COMPATIBILITY MATCH         Office Chair Dining Chair Gaming Chair Big Seating Space POTENTIALLY INCOMPATIBLE MATCHES         Accent Chair Sofa Recliner Small Seating Space Usage Instructions 1.Usage Instructions Before Use Our products are compression packed to conserve materials and improve the environment. Upon receiving the package, your product may appear wrinkled or flat initially; this is normal. Please allow 24-48 hours for it to regain its shape. Thank you for joining us in saving the planet! 2. Correctly Position the Back Pillow Lower back discomfort: Place the back pillow squarely on the chair's backrest so that it perfectly fits the curve of your lower back.Upper back discomfort: Place the chair pad upside down on the backrest to fully support your upper back.You can also adjust the lumbar cushion up and down to a comfortable position based on your needs, and tighten the two straps to secure the desk pillow more firmly on the chair for optimal back support. 3. Adjust the Position After sitting in the chair, lean forward slightly to ensure your body aligns with the curve of your back, allowing the lumbar pillow to provide full support.Adjust the position of the lumbar pillow according to your height and sitting posture so that the center of the cushion aligns with your back. 4. Continuous Adjustment If you experience discomfort while using the office chair cushion, promptly adjust its position to discover the most comfortable support point.During your first use, it may take some time to acclimate. We recommend using the cushion for no more than 30 minutes initially and, whenever possible, engaging in stretching and strength exercises after a sedentary day.If the pain worsens or any unusual symptoms arise, please discontinue use immediately and reach out to us; we are here to assist you and improve your experience. Frequently Questions Answers Q: Which chairs is it mainly applicable to?A: The QUTOOL lumbar support pillow is primarily designed for office chairs, dining chairs, gaming chairs, and car seats, making it an ideal fit for these scenarios. Sofas, recliners, accent chairs, and small seating areas have lower compatibility.Q: How can I achieve full support for my back?A: Our standard back cushion is perfect for individuals weighing between 100 lbs and 200 lbs, providing adequate back support, and is more suitable for chairs with larger seating areas.Q: When the body leans back, does it slide down? A: Our lumbar pillow features two adjustable shoulder straps that can accommodate different types of seats, ensuring it stays in place. Q: Does it help alleviate lower back pain? A: When leaning against the cushion, the premium memory foam filling can absorb some pressure, thereby reducing strain on the spine and muscles, which helps alleviate back discomfort. Q: Is it suitable for use in a car? A: This lumbar support pillow is suitable for car seats and can help relieve pain from prolonged sitting. However, if your car seat is shallow, the pillow will take up some of your seat space to provide adequate back support, which is unavoidable. Seat Cushion Lower Lumbar Pillow Back Cushion & Seat Cushion Back Cushion & Seat Cushion Back Cushion & Seat Cushion Cooling Bed Pillows Add to Cart Add to Cart Add to Cart Add to Cart Add to Cart Add to Cart Customer Reviews 4.3 out of 5 stars 21,362 4.3 out of 5 stars 22,478 4.2 out of 5 stars 35 4.3 out of 5 stars 21,362 4.3 out of 5 stars 21,362 4.4 out of 5 stars 17,060 Price $21.99$21.99 $23.99$23.99 $29.99$29.99 $31.99$31.99 $29.99$29.99 $48.99$48.99 Material Premium Memory foam Premium Memory foam Premium Memory foam Premium Memory foam Premium Memory foam Gel Memory Foam Features Ergonomic design-Relieve pressure Lower lumbar support Velvet cover - Softer and more breathable Velvet cover - Softer feel 3D Mesh Cover-More breathable Adjustable Gel Shredded Memory Foam Pillows Size 18"" x 14"" x 3"" 13"" x 13"" x 4"" Back cushion: 13"" x 13"" x 4"" Seat cushion: 18"" x 14"" x 3"" Back cushion: 13"" x 13"" x 4"" Seat cushion: 18"" x 14"" x 3"" Back cushion: 13"" x 13"" x 4"" Seat cushion: 18"" x 14"" x 3"" 30"" x 20"" Machine Washable ? ? ? ? ? ? Helps Improve Posture ? ? ? ? ? ?",39.0,29.0,22478,178,4.3,10000.0,Office Products,1,
14,OLIXIS Chest Wood File Cabinet Rolling Organization Storage Dresser with Wheels for Home Office,Ama¦¦¦.co¦¦¦,Multifunctional Cabinet Previous page Living Room Room Office Next page,70.0,65.0,244,10037,3.9,500.0,Office Products,1,China
15,"AT-A-GLANCE 2025 Desk Calendar, Monthly, Desk Pad, 22"" x 17"", Standard, QuickNotes (SK7000025)",fli¦¦¦st,"Manage your time and keep track of due dates, special events and more with this QuickNotes Monthly Desk Pad Calendar. Covers 12 months from January 2025 — January 2026 with Julian dates. Plan your schedule without fear of distracting ink bleeding. High-quality paper is designed for ink bleed resistance, which keeps plans neat and legible. Each month has ruled daily blocks for detailed planning, plus a full year of reference calendars. Monthly pages feature a full-page yellow QuickNotes section to create and emphasize important notes, reminders and to-do's. Pages measure 21-3/4"" x 17"". Block size measures 2-1/2"" x 2-1/2"". Pages are perforated for easy tear out. Includes full-page 2026 reference calendar. Top binding has eyelets to allow desk pad to be hung as a wall calendar. Two clear corners keep pages flat on desk or wall and durable backing creates a firm writing surface.",25.4,16.6,131,2050,4.6,900.0,Office Products,17,
16,"Black Retractable Gel Pens 12 Pack with Medium Points, Uni-Ball 207 Signo Click Pens are Fraud Proof and the Best Office Pens, Nursing Pens, Business Pens, School Pens, and Bible Pens",fli¦¦¦st,"Create text that's clear and bold with uni-ball 207 gel click pens. Our black ink pens feature exclusive uni Super Ink with three-way protection against water, fading, and fraud. The acid-free ink is also vividly pigmented and resistant to fading, making these nice pens perfect for archival-quality projects. Our retractable pens feature sleek metallic accents for an elegant appearance. The visible ink supply ensures that you don't run out unexpectedly.",27.5,14.3,19892,138,4.6,10000.0,Office Products,7,
20,"HappyHapi Book Ends, Acrylic Bookends, Clear Book Holders for Shelves, Book Organizer with 24 Pcs Silicone Non-Slip Mats for Library Office School (5 * 5 * 7.3 inch 3mm Thickness 3 Pairs/ 6 Pcs)",Hap¦¦¦ome¦¦¦,"Rounded corners and smooth edges won't scratch your book or your fingers. 4 silicone non-slip pads prevent the bookends from sliding and protect the bookshelves. The 3mm thicked bookend is stronger and can hold heavy-duty books.     Acrylic bookends are transparent and sturdy, The 7.3-inch high book ends are suitable for organizing various books. HappyHapi Acrylic Book holder is made of 4mm acrylic material, and is strong enough to keep books/ magazines/ CDs/ DVDs upright. Acrylic decorative bookend is more elegant than metal bookends, and the covers of books can be seen clearly through the bookends. The book stopper is practicality and aesthetics. It is also a good choice as a gift for friends.     acrylic bookends 3pack acrylic bookends 4pack acrylic bookends 6pack Add to Cart Add to Cart Add to Cart Customer Reviews 4.5 out of 5 stars 680 4.5 out of 5 stars 680 4.5 out of 5 stars 680 Price $13.99$13.99 $16.99$16.99 $21.99$21.99 Price 14.99 16.99 24.99 Size 8.5""D x 5.7""W x 5.7""H 5""D x 5""W x 7.3""H 5""D x 5""W x 7.3""H Quantity 3 Pack 4 Pack 6 Pack Material Acrylic Acrylic Acrylic Style Modern Modern Modern",18.0,14.0,680,4614,4.5,800.0,Office Products,4,China
21,"Mr. Pen- Mechanical Pencil Set with Leads and Eraser Refills, 5 Sizes - 0.3, 0.5, 0.7, 0.9 and 2 Millimeters, for Drafting, Drawing and Sketching",Mr.¦¦¦n,"Previous page Next page 1 Features 2 Various Sizes 3 Sturdy Case Are they suitable for beginners? Yes, its easy grip is great for beginner and professional drawers of lead Are all the different-sized leads black? Yes Are the erasers latex-free? Yes Previous page Next page Compare our Products Mechanical Pencil Set Add to Cart Mechanical Pencil Set Add to Cart Metal Mechanical Pencils Add to Cart Mechanical Pencil Set Add to Cart Mechanical Pencil Set Add to Cart Mechanical Pencil Set Add to Cart Mechanical Pencil Set Add to Cart Customer Reviews 4.6 out of 5 stars 7,788 4.7 out of 5 stars 338 4.6 out of 5 stars 7,788 4.6 out of 5 stars 7,788 4.5 out of 5 stars 359 4.6 out of 5 stars 396 4.6 out of 5 stars 5,938 Price $7.99$7.99 $6.99$6.99 $7.85$7.85 $7.85$7.85 $5.99$5.99 $11.85$11.85 $9.99$9.99 Body Material Plastic Plastic Plastic Plastic Plastic Metal Metal Lead Size 0.3, 0.5, 0.7, 0.9, and 2.0 mm 0.5 and 0.7mm 0.3, 0.5, 0.7, 0.9, and 2.0 mm 0.3, 0.5, 0.7, 0.9, and 2.0 mm 0.7mm 0.3, 0.5, 0.7, 0.9, and 2.0mm 0.3, 0.5, 0.7, 0.9, and 2.0mm Eraser Refills 10 Pcs 8 Pcs 10 Pcs 10 Pcs 8 Pcs 10 Pcs 10 Pcs Lead Refills 5 Tubes 6 Tubes 5 Tubes 5 Tubes 4 Tubes 6 Tubes 6 Tubes Body Color Vintage Colors Boho Colors Pastel Colors Bright Colors Cute Mild Colors Silver Silver Comes in a Storage Case ? ? ? ? ? ? ?",11.9,7.99,7788,2687,4.6,1000.0,Office Products,31,
22,"Magnetic Clips 1.5 inch, 12 Pack Heavy Duty Magnet Metal Clips for Hanging, Strong Magnet Clips for Whiteboard, Fridge, Classroom, Refrigerator",Thi¦¦¦mma¦¦¦,"12 Pack Powerful magnet clips Thimmamma magnet clips good ideal for your home and kitchen to organize receipts, shopping lists, display photos, artworks; magnet clips for office and classroom's whiteboard to post reminders, lists and file; keep your home and office neat and no disorder.   Thimmamma Magnet Clips Key Feaure Multi use magnetic clips Use in the home: Clips hanging photos, messages or calendar on fridge doors. Use in the office: Clips and hanging chart on the whiteboard in the office. Use in the class room: Clips and hanging imagnes or cards on the whiteboard in the class. Clips made of durable stainless metal construction, and quality silver finish. Clips built in powerful square magnet in the clips back, it can attach to any metal surface and will not slide easily. Magnet Clips Specification Magnetic Clips Quantity: 12 clips Magnetic Clips Width: 1.5 inches (38 mm) Magnetic Clips Weight: 20g per magnet clip Magnetic Clips Material: Stainless iron       Using Magnet Clips in Home Idea clip photos, calendar and reminders on the fridge door. Using Magnet Clips in Office Perfect clip the chart and images on the whiteboard. Using Magnet Clips in Class room Idear clip cards and images on the board.",25.0,15.0,878,5915,4.6,700.0,Office Products,52,
24,"Brother P-Touch Label Maker, PTD220, Thermal, Inkless Printer for Home & Office Organization, Portable & Lightweight, QWERTY Keyboard, One-Touch Keys & 25 Pre-Set Label Templates Label Memory",Ama¦¦¦.co¦¦¦,"Chaos? Meet organization. The Brother P-touch PT-D220 Home / Office Everyday Label Maker is versatile, easy-to-use, and the efficient way to clear out clutter in any home or office area. What can be organized with a Brother P-touch Label Maker? Almost anything! Featuring a QWERTY keyboard and one-touch formatting keys, this portable label maker makes you a hero of organization. Create calm in cupboards and easily restore order in your home office by identifying your files, sorting the contents of your desk, and organizing cabinets and bookshelves to perfection. Creating labels is practically foolproof! Preview before you print thanks to the 15-character display screen. Have a favorite label you’d like to re-print repeatedly? No problem! You can store up to 30 frequently used label layouts for quick reprinting. Go ahead and show off your unique style by choosing from 14 different fonts, 11 font styles, 99 frames, and over 600 symbols. For use with Brother Genuine TZe label tapes. Available in a wide assortment of options including laminated tapes, waterproof tapes, premium tapes with glitter, extra-strong adhesive for uneven surfaces, tamperproof security tapes, and more. Mastering your organizational to-do list just couldn’t be any easier or more satisfying. Want to design and print labels on your PC and print on label tapes up to 3/4"" (18mm)? Check out the Brother P-touch Home / Office Advanced Connected Label Maker PT-D410.",40.0,40.0,3545,1221,4.6,7000.0,Office Products,6,Philippines
