,title,seller_name,description,initial_price,final_price,reviews_count,root_bs_rank,rating,bought_past_month,root_bs_category,bs_rank,country_of_origin
2,"LED Desk Lamp for Home Office, 3 Levels Dimmable Reading Desk Light with USB Charging Port, Desk Accessories Touch Control Table Lamp, Eye-Caring Small Study Lamp for College Dorm Room, Black, 5000K",Bes¦¦¦orl¦¦¦ED,"Adjustable Angle, Foldable: with 180°flexible arm and 90°base axis, the led lamp can be adjusted to any your preferred angle.",21.0,19.0,3353,3992,4.5,2000.0,Tools & Home Improvement,25,China
5,"?Upgraded? Dimmable Floor Lamp, 1000 Lumens LED Edison Bulb Included, Arc Floor Lamps for Living Room Modern Standing Lamp with Linen Shade, Tall Lamp for Bedroom Office Dining Room- Black",Nin¦¦¦e-C¦¦¦,"Why do you choose our modern dimmable floor lamp? 1. This Modern Floor Lamps is Fully Stepless Dimmable Pattern from 0 to 100%, which means you can rotate the switch to set any brightness as you like. 2. Our Standing lamps are designed with a 270º horizontally & 90º vertically ratating head, you can screw the lamp shade to any angle you like, which is very proper for reading and working. 3. 1000 Lumens Bulbs included, perfect for reading and studying, protecting your eyes from flickering lights. 4. If your lamp has any defect or stops working within 3 years, we help you troubleshoot or send a whole new product.   Widely suitable for all occasions for your need. 15% Brightness - - Sleeping, meditation or tell a story. 50% Brightness - - Watching movie, playing electronics. 100% Brightness - - Studying, reading, working or family life.       Adjustable Lamp Head Flexible design with 270º Horizontal Rotation & 90º Vertical Ratating Lamp Head Natural Linen Hand Crafted Lamp Shade Lamp shade was made from the natural linen fabric, more natural photo decoration, makes your room and bedroom full of warmth and mood. Upgraded LED Bulb Included Our LED bulb helps distribute light evenly, and helps diffuse the shadow effect throughout the room;This intelligent design makes the light bulb ideal for general lighting inside and outside your home.       Living Room Bedroom Study Room     QA Q1: What is the height of this floor lamp? A1: We have extend the height of the lamp to 65 inches, which will make you never mind too short to fit. Q2: Can the led light bulb be replaced? A2: Yes, you can replace the light bulb with dimmable light bulbs. Q3: Is this step-less dimmable? A3: Yes, it supports fully dimmable, the brightness can be adjusted by the rotary switch. Q4: How can I do if the lamps stop working or have any problem? A4: If your lamp has any defect or stops working within 3 years, we help you troubleshoot or send a whole new product. Specifications: Material: Metal + Linen Light Source: LED Wire Length: 5.9 Feet Lamp Height: 65 inch Lampshade Dimension: 11.8 x 8 inch Package Included: 1 x Floor Lamp 1 x Linen Lamp Shade 1 x 9W LED Bulb(3000K warm white) 1 x User Manual Specifications: Material: Metal + Linen Light Source: LED Wire Length: 5.9 Feet Lamp Height: 65 inch Lampshade Dimension: 11.8 x 8 inch Package Included: 1 x Floor Lamp 1 x Linen Lamp Shade 1 x 9W LED Bulb(3000K warm white) 1 x User Manual",80.0,50.0,4392,622,4.4,5000.0,Tools & Home Improvement,5,
7,"Govee Floor Lamp 2 with Matter, RGBIC Warm Cool White LED Floor Lamp Works with Alexa, 1725lm Corner Floor Lamp with Music Sync, Scene Modes, Smart Floor Lamp for Bedroom, Living Room, Studio, Black",Gov¦¦¦US,Previous page Next page 1 Christmas 2 Bedroom 3 Govee Dreamview1 4 Govee Dreamview2 5 Gaming Room The video showcases the product in use.The video guides you through product setup.The video compares multiple products.The video shows the product being unpacked. Previous page Next page 1 For Relaxing 2 For Reading 3 For Working Previous page Next page 1 Preparation for Matter 2 Need a Hub 3 Upgraded Modren Design Govee Floor Lamp 2 H607C Govee Floor Lamps Alexa Compatible Matter Compatible 1725 Lumens 1500 1521mm / 60 inch Height 1400mm / 55 inch RGBIC+Warm White Color RGBIC+Warm White 82 Scene Mode 64 10 Music Mode 6 Alexa Compatible Matter Compatible 1725 Lumens 2100 1521mm / 60 inch Height 1720mm / 67.7 inch RGBIC+Warm White Color RGBIC+Warm White 82 Scene Mode 85 10 Music Mode 11 Alexa Compatible Matter Compatible 1725 Lumens 1000 1521mm / 60 inch Height 1360mm / 53 inch RGBIC+Warm White Color RGBIC+Warm White 82 Scene Mode 61 10 Music Mode 6 Alexa Compatible Matter Compatible 1725 Lumens 1500 1521mm / 60 inch Height 1750mm / 68 inch RGBIC+Warm White Color RGBIC+Warm White 82 Scene Mode 64 10 Music Mode 6 Previous page Govee Floor Lamp H6072 Govee Floor Lamp Pro 6079 Govee Floor Lamp H6076 Govee Floor Lamp H6078 Next page Learn More Learn More Learn More Learn More,150.0,150.0,494,3174,4.7,4000.0,Tools & Home Improvement,33,
9,"Simple Designs LD1003-BLK Basic Metal Desk Lamp with Flexible Hose Neck for Office, Living Room, Bedroom, College Dorm, Bookshelf, Black",Ama¦¦¦.co¦¦¦,"A nice, low-cost, and functional desk lamp to meet your basic lighting needs. This desk lamp features a painted plastitc base and metal shade, flexible hose neck, and ON/OFF switch located on the base for your convenience. Perfect for office, kids room, or college dorm!",28.0,28.0,13772,4541,4.5,1000.0,Tools & Home Improvement,28,China
12,"BOHON Desk Lamp 3 Color Modes 10 Brightness Dimmer Reading Light 10W 38 LED Clamp Lamp with Auto Off Timer 360° Flexible Gooseneck Clip on Light for Bed Bedside, AC Adapter Include",BoH¦¦¦Lig¦¦¦ng ¦¦¦¦¦¦,"BOHON desk lamp is a part of BOHON's continuing pursuit for creating highly efficient and convenient products for our customers. We produce sturdy and energy saving lights with professional designers and decorators. It has a beautiful and classic shape design. 3 LIGHTING MODES   10 Brightness Dimming   The Broadest & Brightest Headboard Lamp   Enjoy Time with Your Family.     1 Minute or 30 Minute Auto-off Timer Press the on / off button for 2 seconds, the blue light flashes, the reading light will auto off after 1 minute.Double-click the on/off button, the red indicator light will light up, and the lamp will automatically turn off after half an hour. More application scenarios, waiting for you to discover.",30.0,20.0,5344,3591,4.4,1000.0,Tools & Home Improvement,19,
13,"O’Bright Dimmable LED Pharmacy Floor Lamp, 12W LED, Full Range Dimming, 360 Degree Swing Arms, Adjustable Heights, Standing Lamp for Reading, Sewing, and Craft, ETL Listed, Antique Brass (Gold)",O'B¦¦¦ht,"O’Bright Dimmable LED Pharmacy Floor Lamp O'Bright LED Pharmacy Floor Lamp features a full-range dimmer which allows you to dim/brighten the brightness to your desired light levels. With flexible swing arm and rotating head design, you can easily move the light to any directions. Plus, the height of the floor reading lamp is also adjustable to fit your needs in different circumstances. Besides, its metal lampshade, strong tubes and weighted base not only show a sleek looking but make the standing lamp sturdy and safe for daily use.   Previous page Next page Features of the lamp 1 360° Swing Arm 2 270° Swivel Head 3 Dimmable 4 Built-in LED 5 Built-in LED   Previous page Next page 1 Working Area 2 Sofa-side 3 Reading Nook 4 Living Room Comparing with other O'Bright lamps... Pharmacy Floor Lamp Add to Cart Cedric Pharmacy Lamp Buying Options Zoomable Spotlight Lamp Add to Cart Industrial Floor Lamp Add to Cart Moon Floor Reading Lamp Add to Cart Cylinder Floor Lamp Add to Cart Customer Reviews 4.6 out of 5 stars 4,608 4.4 out of 5 stars 308 4.5 out of 5 stars 1,353 4.7 out of 5 stars 6,732 4.6 out of 5 stars 507 3.9 out of 5 stars 2,669 Price $74.99$74.99 — $74.99$74.99 $32.00$32.00 $59.99$59.99 $64.99$64.99 Brightness 1050 Lumens 1050 Lumens 320 Lumens 100W (Max.) 1000 Lumens 1500 Lumens Dimmable ? ? ? ? ? ? Rotatable Light ?? ?? Flexible Arm Fixed ?? 360 Degree Lighting Color Temperature 3000 K (Soft) 3000 K (Soft) 4000K Depends on Bulbs 3000K/4000K/5000K 3000 K (Soft) Assembled Height 47-55 Inches 45-61 Inches 52 inches 70 Inches 43-60 Inches 66 Inches Bulb Included ? ? ? ? ? ?",90.0,75.0,4608,4536,4.6,1000.0,Tools & Home Improvement,53,China
25,"Floor Lamp, 2400LM Super Bright LED Lamps for Living Room 250W Equivalent, Tall Standing Lamp with Remote/Touch Control, Torchiere Bedroom Lamp with 2700K-6500K Stepless Dimmable for Modern Room Decor",Yik¦¦¦ng,Previous page Next page 1 Color Temperatures 2 Brightness Previous page Next page 1 Bedroom 2 Living Room 3 Office 4 Nursing Room 5 Dining Room Previous page Next page 1 Working Mode 2 Reading Mode 3 Night Mode 4 Nursing Mode Previous page Next page 1 Touch Control 2 Remote Control Previous page Next page 1 Stable Lamp Base 2 1H Timer 3 Easy to Assemble,46.0,46.0,2146,4905,4.4,500.0,Tools & Home Improvement,54,China
54,"Desk Lamp,Desk Lamps for Home Office,COZOO LED Desk Lamp with 2 USB Charging Ports,2 Pen Holders,1 Outlet,3 Color 3 Brightness Levels,Touch/Memory/Timer,LED Desk Light Small Desk Lamp Kids Study Lamp",CoZoo,"Suitable for home, office, study room, reading room, dorm room. Ideal gift for kids, family, friends.       Backlit Touch Control Button With backlit touch control button,just simply touching the button to adjust the color lighting to the perfect setting in the darkness. Freely Adjustable Angle Featuring 1 supporting arms and 3 rotating joints, you can freely adjust to cast light in any direction that you like. Desk Organizer The organizer desk lamp is both stylish and functional. Two organizational parts in the base are perfect for storing stationery and holding up your phone.     2 USB Charging Ports( USB A and USB Type C Ports ) The USB charging ports integrated into the lamp base is designed to keep your mobile phones, tablets, kindle readers, iPad, iPhone or any other devices charging. The USB port functions regardless of whether the lamp is on or off. 1 Standard AC Outlet It’s best choice for charge your laptops, printers,bluetooth speakers,Xbox one,PS4 and more in your home and office.(The AC outlets and USB Ports are always under working conditions without switch. Pen Holders & Desktop Organizer This table lamp is designed with 2 pen cups keeps your crowded desk or small space organized.No need to purchase other holders on your desktop.A great multi-functional lamp in your desk. Eye-friendly design With 48 high-quality LED beads for emitting soft, stable and non-flickering light, which is friendly to your eyes Adjustable Angle & Space-saving With 180° flexible arm and 90° base axis, you can effortlessly adjust the lamp for ideal illuminating angle and coverage Foldable lamp head and arm for most space saving, suitable to be placed/stored in book shelf, bag, suitcase. Specifications: Light Source 48Pcs LED Service Lifetime > 40,000 Hours Brightness 530 LM Dimming Level 3 levels Color Temperature 2700~6600K (3 adjustable settings) AC Rated Input 110-240V , 50/60Hz AC Outelet Rated Output AC 100-240V , 50/60Hz, 1250W USB Total Output DC 5V 4A (max) Power Up State US Plug AC Power Cord 5Ft Switch Type Touch Switch Material PC+ABS Fireproof Plastics Lamp Dimension Base 6.45 x 4.76 inches, Height 13.9 inches Item Weight 1.9 lbs",30.0,27.0,4666,15744,4.6,300.0,Tools & Home Improvement,98,
57,"OUTON Wood Tripod Floor Lamp with Shelves, Mid Century Floor Lamp with Remote Control,4 Color Temperature, LED Modern Dimmable Standing Lamp with Beige Linen Shade for Living Room, Bedroom, Office",OUT¦¦¦US,"Previous page Next page 1 Dimmable 2 5 Preset Scenes 3 1-Hour Timer 4 2 Control Ways Previous page Next page 1 Round Shelf for Storage 2 Real Solid Wood 3 Easy to Assemble   Compatible with Any E26 Standard Bulb Features with E26 standard base, offering you more choice of bulbs(Max 60W). You can use smart LED light bulbs, adjust brightness, change the colors, and set scenes via voice control or App.   Soft Beige Linen Drum Lampshade Just put the beige linen lampshade (16"" x 9"") at the top of the shelf, it casts a soft and warm glow that's comfortable for your eyes, and bright for reading.   Make the Power Cord Neater The cord matches the wood so you can easily disguise it for a clean look. The velcro cord holders are put on the leg to keep the cord from hanging.   Sturdy and Stable The tripod base provides stability on carpet floors and a touch of elegance, ensuring that the lamp remains secure and steady, and won't knock over easily. Previous page Next page 1 Living Room 2 Bedroom 3 Office 4 Kid’s Room Recommended products of the same type Tripod Floor Lamp Add to Cart RGB Tripod Floor Lamp Add to Cart Boho Floor Lamp Add to Cart Tripod Floor Lamp Add to Cart Tripod table lamp Add to Cart Floor Lamp with Shelves Add to Cart RGB Lamp with Shelves Buying Options Customer Reviews 4.4 out of 5 stars 997 4.4 out of 5 stars 997 3.3 out of 5 stars 4 4.4 out of 5 stars 997 — 4.2 out of 5 stars 408 4.2 out of 5 stars 408 Price $49.99$49.99 $59.99$59.99 $99.99$99.99 $58.99$58.99 $49.99$49.99 $52.99$52.99 — Wattage 9 W(max 60W) 9 W(max 60W) 9 W(max 60W) 9 W(max 60W) 5 W(max 40W) 9 W(max 60W) 9 W(max 60W) Dimmable v v v v v v v Bulb included v v v v v v v Color of Lampshade Beige Beige Beige Beige Beige Beige RGB Luminous Flux 810 LM 810 LM 810 LM 810 LM 400LM 810 LM 810 LM Color Temperature 4 Colors RGB 4 Colors 4 Colors 1 Color 3 Colors RGB",70.0,50.0,997,9650,4.4,400.0,Tools & Home Improvement,93,China
79,"SKYLEO Led Desk Lamp - Desk Light for 31.5"" Tall - 5 Color Modes X 11 Brightness Levels - Adjustable Swing Arm - Timmer & Memory Function - 12W Lamp for Desk - Black",SKY¦¦¦ St¦¦¦,"Previous page Perfect Brightness 3000K~6000K brightness adjustment to give you any brightness you want. Perfect Adjustment The adjustment for every angle to achieve the lighting angle you need to do your job efficiently. Perfect Eye Care Allows provide lighting while operating fine work, keep eyes from getting too tired from the light. Next page 1 study lamp for desk 2 nail lamp for desk 3 Sewing desk lamp The video showcases the product in use.The video guides you through product setup.The video compares multiple products.The video shows the product being unpacked. Influencer Videos Influencer Videos The video showcases the product in use.The video guides you through product setup.The video compares multiple products.The video shows the product being unpacked. The video showcases the product in use.The video guides you through product setup.The video compares multiple products.The video shows the product being unpacked. Influencer Videos Influencer Videos The video showcases the product in use.The video guides you through product setup.The video compares multiple products.The video shows the product being unpacked.   SKYLEO Product Parameters SKYLEO Add to Cart SKYLEO Add to Cart SKYLEO Add to Cart SKYLEO Add to Cart SKYLEO Add to Cart SKYLEO Add to Cart Customer Reviews 4.5 out of 5 stars 293 4.1 out of 5 stars 5,342 4.5 out of 5 stars 293 4.5 out of 5 stars 293 4.1 out of 5 stars 5,342 4.5 out of 5 stars 293 Price $25.99$25.99 $39.99$39.99 $25.99$25.99 $25.99$25.99 $39.99$39.99 $25.99$25.99 Colour Black Black Black White White White Lamp Height 33"" 29.5"" 34"" 33"" 29.5"" 34"" Lamp Length 16.5"" 31"" 16.5"" 16.5"" 31"" 16.5"" Lumen 1300 2400 1300 1300 2400 1300 Number of LED Beads 112 144 112 112 144 112 Control Method Button Touch Button Button Touch Button Color Modes 5 5 5 5 5 5 Brightness Level 11 11 11 11 11 11 Timmer 45 min 45 min 45 min 45 min 45 min 45 min",26.0,26.0,293,7616,4.5,500.0,Tools & Home Improvement,50,China
